wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q108810773,Alexander Teabo,Alexander Teabo,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715012,Minister for Education,Q108810773-0D85FF3A-0EE8-4E6E-A074-183DB89EE7BC
Q108810781,Mikarite Temari,Mikarite Temari,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715123,Minister for Lines and Phoenix Islands Development,Q108810781-1BB58561-D676-4211-8E90-EE9C920034AF
Q108810790,Ruateki Tekaiara,Ruateki Tekaiara,,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715024,"Minister for Environment, Lands and Agriculture Development",Q108810790-F52B5649-3788-4F5F-850C-652397CCCBDB
Q108810793,Boutu Bateriki,Boutu Bateriki,,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715100,Minister for Internal Affairs,Q108810793-C437DAD8-AFA2-44E6-9071-84B2B1C614A4
Q109237242,Tabeta Teakai,Taabeta Teakai,female,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715117,Minister for Employment and Human Resources,Q109237242-447F7441-9F1E-4652-A9EA-5BBDF3F61D04
Q109715074,Ribwanataake Awira,Ribwanataake Awira,,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715075,Minister for Fisheries and Marine Resources Development,Q109715074-8D972568-ECC7-4695-86EF-D634A0EF9652
Q109715109,Bootii Nauan,Booti Nauan,,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715110,Minister for Commerce and Industry & Cooperative,Q109715109-7CAC5E25-6BE0-4A59-8012-E473CE854935
Q109715114,Martin Moreti,Martin Moreti,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715115,"Minister for Women, Youth, Sports and Social Affairs",Q109715114-9B7DAC49-61D1-4DED-8E95-ACDB8A1DEDD3
Q109715128,Tarakabu Tofinga,Tarakabu Tofinga,,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715129,Minister of Justice,Q109715128-6545D252-18DE-4872-9FA2-6C34327897E8
Q23034482,Taneti Maamau,Taneti Maamau,male,1960-09-16,11,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715358,Minister for Office of te Beretitenti,Q23034482-31DAF5CA-9B24-412C-B753-5F80ED85E51D
Q23034482,Taneti Maamau,Taneti Maamau,male,1960-09-16,11,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q878250,President,Q23034482-6bc38b40-4001-0269-5e8b-fdf6d782a977
Q35382382,Dr. Teuea Toatu,Teuea Toatu,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q7925054,Vice President,Q35382382-883090E5-D98E-4439-822F-2BC5D4A74812
Q35382382,Dr. Teuea Toatu,Teuea Toatu,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109714788,Minister for Finance and Economic Development,Q35382382-9628578C-C3FF-4F78-BE98-F847A9F1AD3A
Q40773814,Dr. Tinte Itinteang,Tinte Itinteang,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715094,Minister for Health and Medical Services,Q40773814-4E44FF8F-C17C-45A8-B401-2F0ACFEA6816
Q98118396,Tekeeua Tarati,Tekeeua Tarati,male,1971-04-12,11,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109715000,"Minister for Information, Communication, Transport and Tourism Development",Q98118396-D82FEA2A-A3F7-4E38-891E-CF7A8968A70B
Q98122545,Willie Tokataake,Willie Tokataake,male,,,https://www.president.gov.ki/government-of-kiribati/cabinet.html,2021-11-24,Q109714932,Minister for Infrastructure & Sustainable Development,Q98122545-C792364D-F6A0-48E8-B6DA-410887BD331C
